得,"de2,dé",obtain | must | (complement particle),"Type the reading, Comrade",Image
死,"sǐ,si3",to die,"Type the reading, Comrade",Image
干,"gàn,gan4",to work; do; manage; tree trunk | to concern; shield; dry; clean (Kangxi radical 51),"Type the reading, Comrade",Image
而,"ér,er2",and,"Type the reading, Comrade",Image
等,"deng3,děng",to wait,"Type the reading, Comrade",Image
当,"dang1,dāng",to serve as,"Type the reading, Comrade",Image
所有,"suǒ yǒu,suo3 you3,suo3you3,suǒyǒu",to have; all,"Type the reading, Comrade",Image
也许,"yěxǔ,ye3 xu3,ye3xu3,yě xǔ",perhaps,"Type the reading, Comrade",Image
行,"xing2,xíng",row,"Type the reading, Comrade",Image
不过,"bu2 guo4,bu2guo4,bú guò,búguò",only; merely; but; however ???,"Type the reading, Comrade",Image
发生,"fāshēng,fā shēng,fa1sheng1,fa1 sheng1","to take place, occur","Type the reading, Comrade",Image
一切,"yi2qie4,yíqiè,yi2 qie4,yí qiè","all, every","Type the reading, Comrade",Image
抱,"bao4,bào",to hold; to hug; carry in one's arms; to cradle,"Type the reading, Comrade",Image
抱歉,"bàoqiàn,bao4qian4,bao4 qian4,bào qiàn",be sorry; feel apologetic; to regret,"Type the reading, Comrade",Image
感觉,"gan3 jue2,gǎnjué,gan3jue2,gǎn jué",to feel; become aware of; feeling,"Type the reading, Comrade",Image
肯定,"ken3 ding4,kěndìng,ken3ding4,kěn dìng",sure; definite; affirm; approve,"Type the reading, Comrade",Image
棒,"bang4,bàng",stick; club; good; excellent,"Type the reading, Comrade",Image
以,"yǐ,yi3",to use; according to; so as to; for; by,"Type the reading, Comrade",Image
以为,"yi3 wei2,yǐwéi,yǐ wéi,yi3wei2",think (mistakenly); consider (that); believe,"Type the reading, Comrade",Image
掉,"diao4,diào",to drop; to fall,"Type the reading, Comrade",Image
生活,"sheng1 huo2,shēnghuó,sheng1huo2,shēng huó",life; livelihood; to live,"Type the reading, Comrade",Image
之,"zhi1,zhī",(literary equivalent to 的); (pronoun); of,"Type the reading, Comrade",Image
任何,"ren4 he2,ren4he2,rèn hé,rènhé",any; whatever; whichever,"Type the reading, Comrade",Image
与,"yǔ,yu3",(formal) and; to give; together with; participate; final particle expressing doubt or surprise,"Type the reading, Comrade",Image
弄,"nong4,nòng",do; manage; to handle; make | lane; alley,"Type the reading, Comrade",Image
却,"que4,què",but; yet; however,"Type the reading, Comrade",Image
继续,"jìxù,ji4 xu4,ji4xu4,jì xù",to continue; to go on; to proceed,"Type the reading, Comrade",Image
够,"gòu,gou4",enough; to reach,"Type the reading, Comrade",Image
父亲,"fu4 qin5,fu4qin5,fùqin,fù qin",father,"Type the reading, Comrade",Image
完全,"wán quán,wánquán,wan2quan2,wan2 quan2",complete; whole; totally,"Type the reading, Comrade",Image
可是,"ke3shi4,kě shì,ke3 shi4,kěshì",but; however,"Type the reading, Comrade",Image
谈,"tan2,tán",to talk; to chat; discuss,"Type the reading, Comrade",Image
好像,"hǎo xiàng,hao3 xiang4,hǎoxiàng,hao3xiang4",as if; seem to be,"Type the reading, Comrade",Image
警察,"jing3 cha2,jing3cha2,jǐng chá,jǐngchá",police,"Type the reading, Comrade",Image
场,"chang3,chǎng",field,"Type the reading, Comrade",Image
